[2026-08-08T05:02:06.825Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-08T05:02:24.384Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 20ms | Node: MediConsult-Institutional
[2026-08-08T05:02:24.405Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 13ms | Node: MediConsult-Institutional
[2026-08-08T05:02:56.561Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T05:02:56.602Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-08T05:03:33.098Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 16ms | Node: MediConsult-Institutional
[2026-08-08T05:03:33.118Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T05:04:20.447Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T05:06:39.441Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 6ms | Node: MediConsult-Institutional
[2026-08-08T05:06:49.438Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-08T05:07:29.440Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 9ms | Node: MediConsult-Institutional
[2026-08-08T05:07:29.455Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 9ms | Node: MediConsult-Institutional
[2026-08-08T05:08:03.438Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 7ms | Node: MediConsult-Institutional
[2026-08-08T05:08:28.224Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 16ms | Node: MediConsult-Institutional
[2026-08-08T05:08:28.247Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T05:09:08.357Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 260ms | Node: MediConsult-Institutional
[2026-08-08T05:09:22.963Z] GET /api/auth/me | Status: 200 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T05:09:22.985Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T05:09:54.097Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 18ms | Node: MediConsult-Institutional
[2026-08-08T05:09:54.116Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T05:10:32.445Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 8ms | Node: MediConsult-Institutional
[2026-08-08T05:11:14.372Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T05:11:46.076Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 19ms | Node: MediConsult-Institutional
[2026-08-08T05:11:46.103Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 15ms | Node: MediConsult-Institutional
[2026-08-08T05:13:51.451Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 8ms | Node: MediConsult-Institutional
[2026-08-08T05:14:01.469Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T05:14:23.434Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T05:17:29.752Z] POST /api/auth/login | Status: 200 | IP: 127.0.0.1 | Time: 181ms | Node: MediConsult-Institutional
[2026-08-08T05:21:50.835Z] GET /api/auth/me | Status: 200 | IP: 127.0.0.1 | Time: 16ms | Node: MediConsult-Institutional
[2026-08-08T05:21:50.874Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-08T05:22:40.820Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 13ms | Node: MediConsult-Institutional
[2026-08-08T05:22:40.838Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 10ms | Node: MediConsult-Institutional
[2026-08-08T05:26:59.274Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 16ms | Node: MediConsult-Institutional
[2026-08-08T05:26:59.298Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 12ms | Node: MediConsult-Institutional
[2026-08-08T05:30:17.549Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 14ms | Node: MediConsult-Institutional
[2026-08-08T05:30:17.601Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 9ms | Node: MediConsult-Institutional
[2026-08-08T05:33:57.961Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 13ms | Node: MediConsult-Institutional
[2026-08-08T05:33:57.999Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T05:34:28.068Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
[2026-08-08T05:34:28.084Z] GET /api/auth/me | Status: 304 | IP: 127.0.0.1 | Time: 11ms | Node: MediConsult-Institutional
